Title , Description , Location , Start_Time , End_Time
Laser Talk: Expressing Gender,"The Beall Center for Art + Technology is proud to present the second event in a four-part series: ""LASER Talk: Expressing Gender."" This panel talk and discussion will take place on Monday  March 20  5:30-7:30pm at The Cove in UCI Applied Innovation  and feature several guest speakers on the subject of gender expression  embodiment  and development. Held in conjunction with the Beall Center's current exhibition  ""Masculine  Feminine"" (on view through May 13  2017)  ""LASER Talk: Expressing Gender"" is part of the Leonardo Journal and Society for the Arts  Sciences and Technology's international network of free public engagement events called LASERs (Leonardo Art Science Evening Rendezvous) - an events series that was started by cultural historian Piero Scaruffi in January 2008 as a local forum for presenting art and science projects.  . . Has the expanded notion of a gender spectrum affected the way we see ourselves? Through the advent of new social  psychological  and technological resources  we have unprecedented ways to discover our identity. Moderated by David Familian (Artistic Director  Beall Center for Art + Technology) and Micol Hebron (Independent Curator  Performance Artist  and Professor at Chapman University)  this conversation will unpack the various avenues through which gender can be expressed and defined – including those in art  psychology  evolutionary biology  and the humanities.. The LASER Talk will feature a special presentation by contemporary artist  Cassils.  . . Cassils has achieved international recognition for a rigorous engagement with the body as a form of social sculpture. Featuring a series of bodies transformed by strict physical training regimes  Cassils’ artworks offer shared experiences for contemplating histories of violence  representation  struggle  and survival  often juxtaposing the immediacy  urgency and ephemerality of live performance against constructed acts for camera in order to challenge the “documentarian truth factor” of images. Bashing through gendered binaries  Cassils performs transgender not as a crossing from one sex to another  but rather as a continual process of becoming ─ a form of embodiment that works in a space of indeterminacy  spasm and slipperiness. Drawing on conceptualism  feminism  body art  gay male aesthetics  Cassils forges a series of powerfully trained bodies for different performative purposes. It is with sweat  blood and sinew that Cassils constructs a visual critique around ideologies and histories.Cassils was born in Montreal (Canada) and lives and works in Los Angeles (CA). Their work appears in the Beall Center's ""Masculine  Feminine"" exhibition courtesy of the artist and Ronald Feldman Fine Arts  New York (NY).. . Other speakers will include experts from UCI's departments of Gender & Sexuality Studies  Psychology and Social Behavior  and Ecology and Evolutionary Biology. A full speaker list will be posted prior to the event.. . . For more information and to Register for FREE  CLICK HERE",5141 California Ave  Irvine  CA  92617  United States,2017-03-20 17:30:00-07:00,2017-03-20 19:30:00-07:00
One Million Cups Irvine,1 Million Cups is a unique event every Wednesday morning from 8am-9am at The Cove  where we provide free coffee and tea. . . . The two startups give a 6 minute presentation spot  then give the live audience of 50+ people 20 minutes to ask questions  give feedback  and act as a focus group with the intention to help the presenting startups grow!. The audience is comprised of investors  entrepreneurs  students  community members  service providers  etc. They all have one thing in common (aside from wanting free coffee and tea)  and that is to help give advice and feedback to startups.. . If you are interested in being a presenter  please feel free to apply at http://www.1millioncups.com/irvine,5141 California Ave  Irvine  CA  92617  United States,2017-03-22 08:00:00-07:00,2017-03-22 09:00:00-07:00
Experiencing the future in augmented and virtual reality,GUEST SPEAKER: . Prof. Mark Bachman. Chief IoT Evangelist and Technologist. The California Institute for Telecommunications and Information Technology. (Calit2-Irvine). University of California Irvine. Chief Technical Officer. Integra Devices  LLC. Irvine  CA. . SYNOPSIS: . We are entering a transformative time  where we are fundamentally changing our relationships with devices  data  and information. The newest augmented and virtual reality (AR/VR) technologies promise to radically change the way we interact with the physical and digital world  changing our paradigm from “devicecentric” to “human-centric”. These technologies enable humans  not devices  to be the center of information and activity. This presentation will explore the exciting world of AR/VR  discussing the most promising emerging technologies and applications. In addition  the presentation will address questions such as: How does AR/VR work? Who are the major players in AR/VR? What does the future of AR/VR look like? And how do we prepare ourselves for jobs and opportunities related to the AR/VR industry.. . CHECK IN: 4:30 PM. PRESENTATION: 5:00 -7:00 PM. . ABOUT THE PRESENTER:. Prof. Bachman currently serves Chief Technical Officer of an IoT startup (Integra Devices  LLC) as well as Chief IoT Evangelist and Technologist for the California Institute for Telecommunications and Information Technology (Calit2). He is also a professional speaker and consultant on advanced technology topics. Dr. Bachman’s expertise is in sensor network systems  micro-medical devices  data analytics and visualizations for technology applications. He has been working in this area for 20 years as researcher  faculty  and entrepreneur. Dr. Bachman has published over 85 peer reviewed articles  has 12 patents issued  has launched four successful startups  and has given scores of invited and keynote presentations around the world. Dr. Bachman earned a B.S. in Physics and a Ph.D. in Experimental Particle Physics from the University of Texas  Austin.. . To Register for the event  CLICK HERE,5141 California Ave  Irvine  CA  92617  United States,2017-03-22 17:00:00-07:00,2017-03-22 19:00:00-07:00
TCVN Virtual Reality Demo Day,Virtual reality and augmented reality technologies are finding new ways to enhance our ability to perceive the world that surrounds us. At the TCVN VR Demo Night  the most creative minds in VR will be on a panel to share current thoughts and challenges. Also  innovative companies will showcase and demo the latest in VR technology. . . . This event is for VR startups  entrepreneurs  service providers  and investors. Be prepared to be entertained and engaged at VR Demo Day at The Cove!. . . Who is TCVN?. We believe in the power of people  relationships  and trust. If you want to be a successful entrepreneur or want to help entrepreneurs become successful. . . . Founded in 1984  Tech Coast Venture Network is one of Southern California’s premier technology business networks. TCVN strives to strengthen the entrepreneurial ecosystem in Southern California and to empower the entrepreneur and emerging growth companies  offering educational and networking programs and providing resources and exposure opportunities to take their businesses to the next level.. . To register  CLICK HERE. .  ,5141 California Ave  Irvine  CA  92617  United States,2017-03-23 18:00:00-07:00,2017-03-23 21:00:00-07:00
Lunch and Learn with Jenny Ta,The Lunch & Learn event is an opportunity for Experts-in-Residence (EiRs) to present informal talks and Q&As with startup teams working at the Cove. The talks will cover such diverse topics as branding  marketing  pitching mistakes to avoid  investor relations  and prototyping. Check-in 11:30 am Open to UCI students  staff & faculty  alumni  startups  spinoffs & Cove EiRs. ,5141 California Ave  Irvine  CA  92617  United States,2017-03-24 12:00:00-07:00,2017-03-24 13:00:00-07:00
Become Investor Ready Workshop Series,Deal Practice Pitch . .  . Facilitator: Steven Mednick. Panel: Don Kasle  Bill Waldo  and Martin Kleckner IIII. . . Watch three 12 minute investor presentations followed by investors’ questions. You will see and experience what it is like to rapidly answer investor questions and determine if you are ready to present your deal to potential Angel Investors.. . . To Register for the event  please CLICK HERE,5141 California Ave  Irvine  CA  92617  United States,2017-03-28 17:00:00-07:00,2017-03-28 18:30:00-07:00
One Million Cups Irvine,1 Million Cups is a unique event every Wednesday morning from 8am-9am at The Cove  where we provide free coffee and tea. . . . The two startups give a 6 minute presentation spot  then give the live audience of 50+ people 20 minutes to ask questions  give feedback  and act as a focus group with the intention to help the presenting startups grow!. The audience is comprised of investors  entrepreneurs  students  community members  service providers  etc. They all have one thing in common (aside from wanting free coffee and tea)  and that is to help give advice and feedback to startups.. . If you are interested in being a presenter  please feel free to apply at http://www.1millioncups.com/irvine,5141 California Ave  Irvine  CA  92617  United States,2017-03-29 08:00:00-07:00,2017-03-29 09:00:00-07:00
Lunch and Learn with Taylor Holiday,The Lunch & Learn event is an opportunity for Experts-in-Residence (EiRs) to present informal talks and Q&As with startup teams working at the Cove. The talks will cover such diverse topics as branding  marketing  pitching mistakes to avoid  investor relations  and prototyping. Check-in 11:30 am Open to UCI students  staff & faculty  alumni  startups  spinoffs & Cove EiRs. ,5141 California Ave  Irvine  CA  92617  United States,2017-03-17 12:00:00-07:00,2017-03-17 13:00:00-07:00
Trace3: A Taste of Innovation,Please join Trace3 and our partners for an innovative look inside three keys areas: Security  Big Data and Devops. . DISCOVERY IS THE JOURNEY; INSIGHT IS THE DESTINATION. . Innovation is a core part of the Trace3 DNA and our mission is to expose you to the ever-changing world of digital business.. We would like to invite you to “A Taste of Innovation”  a half day  onsite event where we have invited 6 innovative companies to discuss target areas of the technology landscape.  We have broken the event down into three distinct categories:  Big Data  Security and Devops.  This will allow you to customize your attendance to the event by selecting the three sessions you wish to attend.. . For more information please CLICK HERE ,5141 California Ave  Irvine  CA  92617  United States,2017-03-15 16:30:00-07:00,2017-03-15 20:30:00-07:00
One Million Cups Irvine,1 Million Cups is a unique event every Wednesday morning from 8am-9am at The Cove  where we provide free coffee and tea. . . . The two startups give a 6 minute presentation spot  then give the live audience of 50+ people 20 minutes to ask questions  give feedback  and act as a focus group with the intention to help the presenting startups grow!. The audience is comprised of investors  entrepreneurs  students  community members  service providers  etc. They all have one thing in common (aside from wanting free coffee and tea)  and that is to help give advice and feedback to startups.. . If you are interested in being a presenter  please feel free to apply at http://www.1millioncups.com/irvine,5141 California Ave  Irvine  CA  92617  United States,2017-03-15 08:00:00-07:00,2017-03-15 09:00:00-07:00
